Loandra,SATLike,LinSBPS2018,sls-mcs,sls-mcs-lsu,Open-WBO-g,Open-WBO-ms
0.8,0.96,0.8889,1,1,0.6486,0.7059
0.8571,0.8276,0.8889,1,1,0.6154,0.6486
1,0.9355,0.9667,0.9667,0.9667,0.6444,0.7073
1,1,1,1,1,0.8472,0.8356
1,0.9434,0.9868,0.9868,0.974,0.7813,0.7538
0.9476,0.9211,0.9282,1,0.9918,0.7373,0.7002
0.9053,0.9928,0.647,1,0.9952,0.7718,0.6742
0.8802,0.9974,0.3461,1,0.9969,0.7678,0.6231
0.7932,0.9899,0.1526,1,0.9942,0.8319,0.2413
1,0.8571,1,0.9091,0.9091,1,1
1,0.871,1,0.931,0.931,1,1
1,0.9,1,1,0.931,1,0.9643
1,0.9,1,0.9,0.9,0.9,0.9
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,0.963,1,1,1,1,1
1,0.973,1,0.973,0.973,1,1
0.9756,1,1,1,1,0.9524,0.9302
0.987,1,0.987,1,1,0.987,0.8636
1,1,0.9583,1,1,0.92,0.8846
1,1,0.9863,1,1,0.9231,0.96
0.974,1,0.9615,1,1,0.9375,0.9494
0.9067,1,0.9577,1,1,0.8947,0.8
0.9474,1,1,1,1,0.9114,0.9114
0.9718,1,0.8734,1,1,0.8961,0.8625
0.9487,1,0.961,1,1,0.8916,0.881
0.9375,1,0.9375,1,1,0.9259,0.8929
1,1,0.9296,1,1,0.9706,0.9167
0.8933,1,0.9571,1,1,0.8481,0.9437
1,1,0.9577,1,1,0.8718,0.8608
0.9412,1,1,1,1,0.8889,0.8421
0.9846,1,0.9552,1,1,0.8649,0.8312
0.9772,1,1,0.933,0.6922,0.9313,0.7442
1,0.9673,0.9673,0.8362,0.7255,0.925,0.961
0.9828,1,1,0.7459,0.7459,0.8545,0.8577
1,0.91,0.91,0.9069,0.7941,0.8715,0.9675
0.9,0.989,0.989,0.786,0.7287,0.8696,1
0.9794,1,1,0.9636,0.6258,0.4175,0.9986
1,0.9005,0.9065,0.8786,0.808,0.8092,0.8801
0.9153,0.806,0.806,0.9432,0.75,0.8244,1
1,0.8767,0.8767,0.8348,0.7085,0.8807,0.8458
0.9481,0.9865,0.7374,0.9241,1,0.7374,0.7935
0.828,0.7357,0.7357,0.9665,0.8105,0.8556,1
0.997,1,1,0.9735,0.9167,0.9677,1
1,1,1,0.7875,0.7975,0.8182,0.8873
0.7563,0.8098,0.8098,0,0,0.1663,1
